92,Invalid join date
92,Invalid last purchase date
92,Invalid churned value
93,Invalid join date
93,Invalid last purchase date
93,Invalid churned value
94,Invalid join date
94,Invalid last purchase date
94,Invalid churned value
95,Invalid join date
95,Invalid last purchase date
95,Invalid churned value
96,Invalid join date
96,Invalid last purchase date
96,Invalid churned value
97,Invalid join date
97,Invalid last purchase date
97,Invalid churned value
98,Invalid join date
98,Invalid last purchase date
98,Invalid churned value
99,Invalid join date
99,Invalid last purchase date
99,Invalid churned value
100,Invalid join date
100,Invalid last purchase date
100,Invalid churned value
101,Invalid join date
101,Invalid last purchase date
101,Invalid churned value
102,Invalid join date
102,Invalid last purchase date
102,Invalid churned value
103,Invalid join date
103,Invalid last purchase date
103,Invalid churned value
104,Invalid join date
104,Invalid last purchase date
104,Invalid churned value
105,Invalid join date
105,Invalid last purchase date
105,Invalid churned value
106,Invalid join date
106,Invalid last purchase date
106,Invalid churned value
107,Invalid join date
107,Invalid last purchase date
107,Invalid churned value
108,Invalid join date
108,Invalid last purchase date
108,Invalid churned value
109,Invalid join date
109,Invalid last purchase date
109,Invalid churned value
110,Invalid join date
110,Invalid last purchase date
110,Invalid churned value
111,Invalid join date
111,Invalid last purchase date
111,Invalid churned value
112,Invalid join date
112,Invalid last purchase date
112,Invalid churned value
113,Invalid join date
113,Invalid last purchase date
113,Invalid churned value
114,Invalid join date
114,Invalid last purchase date
114,Invalid churned value
115,Invalid join date
115,Invalid last purchase date
115,Invalid churned value
116,Invalid join date
116,Invalid last purchase date
116,Invalid churned value
117,Invalid join date
117,Invalid last purchase date
117,Invalid churned value
118,Invalid join date
118,Invalid last purchase date
118,Invalid churned value
119,Invalid join date
119,Invalid last purchase date
119,Invalid churned value
120,Invalid join date
120,Invalid last purchase date
120,Invalid churned value
121,Invalid join date
121,Invalid last purchase date
121,Invalid churned value
122,Invalid join date
122,Invalid last purchase date
122,Invalid churned value
123,Invalid join date
123,Invalid last purchase date
123,Invalid churned value
124,Invalid join date
124,Invalid last purchase date
124,Invalid churned value
125,Invalid join date
125,Invalid last purchase date
125,Invalid churned value
126,Invalid join date
126,Invalid last purchase date
126,Invalid churned value
127,Invalid join date
127,Invalid last purchase date
127,Invalid churned value
128,Invalid join date
128,Invalid last purchase date
128,Invalid churned value
129,Invalid join date
129,Invalid last purchase date
129,Invalid churned value
130,Invalid join date
130,Invalid last purchase date
130,Invalid churned value
131,Invalid join date
131,Invalid last purchase date
131,Invalid churned value
132,Invalid join date
132,Invalid last purchase date
132,Invalid churned value
133,Invalid join date
133,Invalid last purchase date
133,Invalid churned value
134,Invalid join date
134,Invalid last purchase date
134,Invalid churned value
135,Invalid join date
135,Invalid last purchase date
